filename,slug,duplicate_of,proposed_mechanic,family
054-gravity-flip.js,gravity-flip,gravity-flip,freeze,A
110-gravity-flip.js,gravity-flip,gravity-flip,pinch_zone,D
169-gravity-flip.js,gravity-flip,gravity-flip,duel_2p,G
281-gravity-flip.js,gravity-flip,gravity-flip,coop_2zone,G
336-gravity-flip.js,gravity-flip,gravity-flip,turn_attack,G
403-gravity-flip.js,gravity-flip,gravity-flip,jackpot_combo,H
463-gravity-flip.js,gravity-flip,gravity-flip,near_miss,H
522-gravity-flip.js,gravity-flip,gravity-flip,cooldown_tap,A
568-gravity-flip.js,gravity-flip,gravity-flip,hold_duration,A
613-gravity-flip.js,gravity-flip,gravity-flip,slingshot,B
758-gravity-flip.js,gravity-flip,gravity-flip,counting,F
335-tower-stack.js,tower-stack,tower-stack,drop_timing,B
416-tower-stack.js,tower-stack,tower-stack,flick_launch,B
577-tower-stack.js,tower-stack,tower-stack,rotate_gesture,D
620-tower-stack.js,tower-stack,tower-stack,push_out,E
081-stack-tower.js,stack-tower,stack-tower,reaction_duel,F
155-stack-tower.js,stack-tower,stack-tower,alternate_tap,A
702-stack-tower.js,stack-tower,stack-tower,rub,D
221-neon-snake.js,neon-snake,neon-snake,size_judge,F
288-neon-snake.js,neon-snake,neon-snake,hold_charge,A
359-neon-snake.js,neon-snake,neon-snake,trajectory,B
219-tempo-tap.js,tempo-tap,tempo-tap,pair_match,F
355-tempo-tap.js,tempo-tap,tempo-tap,camera_climb,C
793-tempo-tap.js,tempo-tap,tempo-tap,drag_sort,E
337-firefly-catch.js,firefly-catch,firefly-catch,slice,D
470-firefly-catch.js,firefly-catch,firefly-catch,mash,A
519-firefly-catch.js,firefly-catch,firefly-catch,trace,D
297-coin-flip.js,coin-flip,coin-flip,gap_fit,E
350-coin-flip.js,coin-flip,coin-flip,timing_window,A
730-coin-flip.js,coin-flip,coin-flip,count_exact,E
315-color-wave.js,color-wave,color-wave,stack,E
449-color-wave.js,color-wave,color-wave,drag_follow,C
712-color-wave.js,color-wave,color-wave,rhythm,A
321-magnet-pull.js,magnet-pull,magnet-pull,connect,E
505-magnet-pull.js,magnet-pull,magnet-pull,swipe_direction,D
727-magnet-pull.js,magnet-pull,magnet-pull,camera_run,C
363-fruit-slice.js,fruit-slice,fruit-slice,chase,C
638-fruit-slice.js,fruit-slice,fruit-slice,memory_sequence,F
477-morse-tap.js,morse-tap,morse-tap,spot,F
580-morse-tap.js,morse-tap,morse-tap,balance,C
531-pinball-tap.js,pinball-tap,pinball-tap,guide_path,C
767-pinball-tap.js,pinball-tap,pinball-tap,aim_shoot,B
497-coin-spin.js,coin-spin,coin-spin,dodge,C
276-escape-maze.js,escape-maze,escape-maze,judge,F
280-word-rain.js,word-rain,word-rain,timing_one_shot,A
697-pong-solo.js,pong-solo,pong-solo,freeze,A
150-whack-rhythm.js,whack-rhythm,whack-rhythm,pinch_zone,D
668-boomerang.js,boomerang,boomerang,duel_2p,G
299-ninja-slice.js,ninja-slice,ninja-slice,coop_2zone,G
491-antenna-signal.js,antenna-signal,antenna-signal,turn_attack,G
661-color-memory.js,color-memory,color-memory,jackpot_combo,H
344-ice-skate.js,ice-skate,ice-skate,near_miss,H
593-mirror-tap.js,mirror-tap,mirror-tap,cooldown_tap,A
384-pinball-flip.js,pinball-flip,pinball-flip,hold_duration,A
582-crystal-grow.js,crystal-grow,crystal-grow,slingshot,B
550-spring-jump.js,spring-jump,spring-jump,counting,F
538-tile-slide.js,tile-slide,tile-slide,drop_timing,B
562-sumo-push.js,sumo-push,sumo-push,flick_launch,B
526-memory-path.js,memory-path,memory-path,rotate_gesture,D
721-crystal-crack.js,crystal-crack,crystal-crack,push_out,E
656-bubble-sort.js,bubble-sort,bubble-sort,reaction_duel,F
517-color-blend.js,color-blend,color-blend,alternate_tap,A
724-beat-tap.js,beat-tap,beat-tap,rub,D
589-wire-cross.js,wire-cross,wire-cross,size_judge,F
743-firefly.js,firefly,firefly,hold_charge,A
746-word-flash.js,word-flash,word-flash,trajectory,B
