id,shelf,platform,title,source,genre,genre_source,family,verdict,verdict_why,venue_fit,tier,play,status
D-20092012-0001,D,2009-2012,Angry Birds,memory,,,,,,,3,,todo
D-20092012-0002,D,2009-2012,Angry Birds Rio,memory,,,,,,,3,,todo
D-20092012-0003,D,2009-2012,Angry Birds Space,memory,,,,,,,3,,todo
D-20092012-0004,D,2009-2012,Cut the Rope,memory,,,,,,,3,,todo
D-20092012-0005,D,2009-2012,Cut the Rope: Experiments,memory,,,,,,,3,,todo
D-20092012-0006,D,2009-2012,Fruit Ninja,memory,Fighting,inferred,殴る・斬る,明,勝敗が出る。何を食らったかも見える,bar,2,,todo
D-20092012-0007,D,2009-2012,Doodle Jump,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20092012-0008,D,2009-2012,Tiny Wings,memory,,,,,,,3,,todo
D-20092012-0009,D,2009-2012,Temple Run,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20092012-0010,D,2009-2012,Temple Run 2,memory,Platform,inferred,走る・跳ぶ,半,どこまで行けたかは残る。満足はコースの見せ方に依る,kanko,2,,todo
D-20092012-0011,D,2009-2012,Jetpack Joyride,memory,,,,,,,3,,todo
D-20092012-0012,D,2009-2012,Plants vs. Zombies,memory,Fighting,inferred,殴る・斬る,明,勝敗が出る。何を食らったかも見える,bar,2,,todo
D-20092012-0013,D,2009-2012,Where's My Water?,memory,,,,,,,3,,todo
D-20092012-0014,D,2009-2012,Bad Piggies,memory,,,,,,,3,,todo
D-20092012-0015,D,2009-2012,Draw Something,memory,,,,,,,3,,todo
D-20092012-0016,D,2009-2012,Words with Friends,memory,,,,,,,3,,todo
D-20092012-0017,D,2009-2012,Tap Tap Revenge,memory,,,,,,,3,,todo
D-20092012-0018,D,2009-2012,Infinity Blade,memory,,,,,,,3,,todo
D-20092012-0019,D,2009-2012,Real Racing,memory,Racing,inferred,競う速さ,明,タイム・順位が残る。どこで遅れたかも分かる,bar+kanko,2,,todo
D-20092012-0020,D,2009-2012,Asphalt,memory,,,,,,,3,,todo
