# id	verdict(明|半|不明)	why   — GH 386 行: play 文からの規則判定(点/勝敗/当たり外れが残る=明、選択のみ=不明、他=半)。要目視レビュー
GH-3DS-0001	明	点/勝敗/当たり外れが残る
GH-3DS-0002	明	点/勝敗/当たり外れが残る
GH-3DS-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-DC-0001	不明	選んだだけで正誤も満足も出ない
GH-DC-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-DC-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-DC-0004	不明	選んだだけで正誤も満足も出ない
GH-DS-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0002	明	点/勝敗/当たり外れが残る
GH-DS-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0004	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0005	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0006	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0007	明	点/勝敗/当たり外れが残る
GH-DS-0008	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0009	明	点/勝敗/当たり外れが残る
GH-DS-0010	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0011	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0012	明	点/勝敗/当たり外れが残る
GH-DS-0013	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0014	明	点/勝敗/当たり外れが残る
GH-DS-0015	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0016	明	点/勝敗/当たり外れが残る
GH-DS-0017	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0018	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0019	明	点/勝敗/当たり外れが残る
GH-DS-0020	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0021	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0022	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0023	明	点/勝敗/当たり外れが残る
GH-DS-0024	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0025	明	点/勝敗/当たり外れが残る
GH-DS-0026	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0027	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0028	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0029	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0030	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0031	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0032	明	点/勝敗/当たり外れが残る
GH-DS-0033	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0034	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0035	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0036	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0037	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0038	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0039	明	点/勝敗/当たり外れが残る
GH-DS-0040	明	点/勝敗/当たり外れが残る
GH-DS-0041	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0042	半	正誤は出るが、点や記録として残るものが play に無い
GH-DS-0043	明	点/勝敗/当たり外れが残る
GH-DS-0044	明	点/勝敗/当たり外れが残る
GH-DS-0045	半	正誤は出るが、点や記録として残るものが play に無い
GH-FC-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-GBA-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-GBA-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-GBA-0003	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0001	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0002	半	正誤は出るが、点や記録として残るものが play に無い
GH-PS-0003	明	点/勝敗/当たり外れが残る
GH-PS-0004	明	点/勝敗/当たり外れが残る
