#! source=memory
# 個別のプチゲーム名は網羅できていないため「動詞: 4秒で何をするか」で記す。名前が分かる分は名前。

# GBA メイド イン ワリオ
よけろ: 飛んでくる矢を1回よける
つかめ: 落ちる前に掴む
とれ: 3つの中から本物を取る
はしれ: 決まった距離を連打で走り切る
とべ: 縄跳びを1回跳ぶ
おせ: ボタンを1回だけ押す
こすれ: 隠れた絵が出るまでこする
ふけ: 鼻をかむ
さがせ: 隠れている1つを見つける
かぞえろ: 一瞬見えた数を答える
あわせろ: 動く2つを重ねる
まもれ: 1回だけ防ぐ
にげろ: 掴まれる前に逃げる
とめろ: 動いているものを止める
はいれ: 隙間に入る
かわせ: 落ちてくるものをかわす
うて: 飛んできたものを打ち返す
なげろ: 的に投げ入れる
たたけ: 出てきたものを叩く
のばせ: 届くまで伸ばす
きめろ: 一番いい瞬間で決める
ひろえ: 散らばったものを拾う
つなげ: 離れた2点を繋ぐ
まわせ: 向きを合わせる
たおせ: 倒す
ささえろ: 落ちないよう支える
すくえ: こぼさずにすくう
ふさげ: 漏れを塞ぐ
ぬけ: 抜けるものを抜く
むけ: 皮をむく
きれ: 線の上を切る
たべろ: 落ちる前に食べる
のめ: こぼさず飲む
はけ: 靴を履く
きろ: 服を着る
みがけ: 磨く
あらえ: 洗う
とじろ: 閉じる
あけろ: 開ける
はれ: 貼る
はがせ: 剥がす
ならべろ: 順に並べる
そろえろ: 揃える
えらべ: 正しい方を選ぶ
まて: 何もしないのが正解
おぼえろ: 一瞬の並びを覚える
まねろ: 直前の動きを真似る
うたえ: 音に合わせて押す
よめ: 一瞬出た文字を読む
きけ: 音を聞き分ける
ゲームボーイ風: 1画面の古典ゲームを4秒で1回
NES風: 1画面の古典ゲームを4秒で1回

# GBA まわる メイド イン ワリオ（回転センサー）
かたむけろ: 傾けてボールを穴へ
まわせ: 本体を回して向きを合わせる
おこせ: 倒れたものを起こす
ころがせ: 転がして届かせる
ふれ: 振って落とす
つりあわせろ: 傾きを水平に保つ
そそげ: 傾けて注ぐ
ゆらせ: 揺らして揃える
ひねれ: 蛇口をひねる
まきもどせ: 回して巻き取る
ダイヤルを合わせろ: 金庫のダイヤル
ハンドルを切れ: 車をよける
のぼれ: 回して登る
おとせ: 傾けて落とす
たてろ: 立てる

# DS さわる メイド イン ワリオ（タッチ）
なぞれ: 線の上をなぞる
こすれ: 消えるまでこする
たたけ: 出た瞬間に叩く
つまめ: つまんで移動
ひっぱれ: 引っ張って抜く
まわせ: 円を描いて回す
ふけ: マイクに息を吹きかける
かけ: 文字を書く
きれ: なぞって切る
はれ: 貼り合わせる
むすべ: 線で結ぶ
つみあげろ: ドラッグで積む
ひらけ: 引き出しを開ける
とじろ: ファスナーを閉める
ぬれ: 塗りつぶす
けせ: 消しゴムで消す
さわれ: 触るだけ
さわるな: 触らないのが正解
はじけ: 弾く
おろせ: 下ろす
のばせ: 引き伸ばす
ちぢめろ: 縮める
まげろ: 曲げる
やぶれ: 破る
ほれ: 掘る
すくえ: すくい上げる
ぬけ: 引き抜く
さけ: 割く
かわせ: よける（ドラッグ）
おいかけろ: 追いかけて触る

# Wii おどる メイド イン ワリオ（構え）
構え: リモコンを縦に持つ
構え: 横に持つ
構え: 頭に乗せる
構え: 腰に当てる
構え: 傘のように持つ
構え: 鉛筆持ち
構え: 剣のように持つ
構え: 釣り竿のように持つ
構え: 皿のように持つ
構え: 犬の手
振れ: 上下に振る
振れ: 左右に振る
ひねれ: 手首を返す
つきだせ: 前に突き出す
ひけ: 手前に引く
まわせ: 円を描く
たたけ: 振り下ろす
すくえ: すくい上げる
かたむけろ: 傾ける
とめろ: 動きを止める
ゆらせ: ゆっくり揺らす
はやくふれ: 速く振る
おおきくふれ: 大きく振る
ちいさくふれ: 小さく振る
両手: 2本持ち

# 3DS メイド イン ワリオ ゴージャス（ボタン・回転・タッチ・マイク混合）
ボタン: 1回押す
ボタン: 連打
ボタン: 長押し
ボタン: タイミング押し
回転: 傾けて転がす
回転: 本体を回す
タッチ: なぞる
タッチ: こする
タッチ: 叩く
マイク: 吹く
マイク: 叫ぶ
混合: 押しながら傾ける
混合: 触りながら吹く
ストーリー: 300本超の集大成

# Switch メイド イン ワリオ ゲット イット トゥギャザー（キャラ操作）
キャラ: 走る
キャラ: 跳ぶ
キャラ: 撃つ
キャラ: 引っ掛ける
キャラ: 飛ぶ
キャラ: 突進する
キャラ: 上下にしか動けない
キャラ: 左右にしか動けない
キャラ: 反転する
キャラ: 2人で同じ画面
キャラ: 相手を運ぶ
キャラ: 相手を足場にする
プチゲーム: 同じお題を違うキャラで解く

# Switch おすそわける メイド イン ワリオ（構え・2人）
構え: 2人で同じポーズ
構え: 向かい合う
構え: 背中合わせ
構え: 手を繋ぐ
構え: 片手ずつ
振れ: 2人同時
振れ: 交互
とめろ: 2人同時に止まる
まねろ: 相手の動きを真似る
ちがえろ: 相手と違う動きをする

# Switch2 メイド イン ワリオ（マウス操作ほか、新作）
マウス: 転がす
マウス: なぞる
マウス: 押し込む
マウス: 2台同時
